# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	21037
#@/user_id	edf49405-f6ee-4acb-88d3-58294728cd25
a 	啊	c=33 d=6.78167 t=21037
a a a a 	啊啊啊啊	c=1 d=1 t=21037
a la bo 	阿拉伯	c=1 d=0.951229 t=21037
a li 	阿里	c=1 d=0.856415 t=21037
a nu 	阿奴	c=0 d=0.0909373 t=21037
ai 	愛	c=21 d=13.1002 t=21037
ai cuo 	愛錯	c=2 d=1.87416 t=21037
ai gei 	愛給	c=1 d=0.995012 t=21037
ai hao 	愛好	c=2 d=0.780993 t=21037
an 	按	c=8 d=3.37042 t=21037
an 	暗	c=2 d=1.70635 t=21037
an ge 	安個	c=1 d=0.951229 t=21037
an jian 	按鍵	c=1 d=0.715338 t=21037
an le 	按了	c=1 d=0.831104 t=21037
an ni de 	按你的	c=2 d=1.654 t=21037
an niu 	按鈕	c=18 d=7.62931 t=21037
an niu ne 	按鈕呢	c=1 d=0.878095 t=21037
an quan 	安全	c=1 d=0.927743 t=21037
an se 	暗色	c=6 d=2.73073 t=21037
an se da 	暗色大	c=1 d=0.995012 t=21037
an shun xu 	按順序	c=1 d=0.937067 t=21037
an wei 	安慰	c=7 d=4.98843 t=21037
an xia 	按下	c=4 d=3.2151 t=21037
an zao 	按早	c=1 d=0.790571 t=21037
an zhao 	按照	c=3 d=1.51986 t=21037
an zhuang 	安裝	c=26 d=7.85959 t=21037
an zhuang bao 	安裝包	c=1 d=0.873716 t=21037
ang 	昂	c=0 d=0.0909373 t=21037
ao 	熬	c=1 d=0.878095 t=21037
ba 	吧	c=43 d=7.94514 t=21037
ba 	把	c=69 d=11.3802 t=21037
ba 	拔	c=1 d=0.499074 t=21037
ba 	爸	c=1 d=0.900325 t=21037
ba le 	罷了	c=6 d=2.06533 t=21037
ba ma 	爸媽	c=1 d=0.240508 t=21037
ba ta 	把它	c=4 d=2.16198 t=21037
bai 	柏	c=2 d=1.42034 t=21037
bai 	白	c=3 d=2.9055 t=21037
bai 	百	c=1 d=0.995012 t=21037
bai du 	百度	c=3 d=2.37492 t=21037
bai fen bai 	百分百	c=4 d=2.08056 t=21037
bai fen bi 	百分比	c=1 d=0.913931 t=21037
bai hu 	白虎	c=10 d=6.44631 t=21037
bai jiang 	白漿	c=1 d=0.900325 t=21037
bai kai 	掰開	c=1 d=0.980199 t=21037
bai ming dan 	白名單	c=2 d=1.95084 t=21037
bai nian 	拜年	c=2 d=1.97531 t=21037
bai se 	白色	c=1 d=0.843665 t=21037
bai si 	白絲	c=1 d=0.847894 t=21037
bai tian 	白天	c=2 d=1.51635 t=21037
bai wan 	百萬	c=1 d=0.882497 t=21037
ban 	半	c=4 d=1.46684 t=21037
ban 	搬	c=1 d=0.637628 t=21037
ban 	板	c=2 d=1.77101 t=21037
ban 	版	c=4 d=2.26121 t=21037
ban 	般	c=2 d=1.43461 t=21037
ban 	辦	c=5 d=3.33167 t=21037
ban ben 	版本	c=22 d=8.60534 t=21037
ban ben hao 	版本號	c=3 d=2.04679 t=21037
ban cheng pin 	半成品	c=1 d=1 t=21037
ban dian 	半點	c=1 d=0.995012 t=21037
